label_history,rmse_history
20,2.0066938
30,2.1630166
40,2.4998226
50,3.2051127
60,3.1869347
70,2.7537143
80,2.8907719
90,2.6483092
100,2.9606712
110,2.8108368
120,2.8851712
130,2.8567564
140,2.7360115
150,2.9862728
160,3.4945097
170,2.7641323
180,2.9743214
190,2.621289
200,3.041871
210,3.0980046
220,3.0023284
230,2.764609
240,2.506691
250,3.0580764
260,2.9039328
270,2.9984398
280,2.9030812
290,2.7766047
300,2.5808735
310,3.533447
320,2.9087956
330,2.4662957
340,2.7699275
350,2.8059242
360,2.779877
370,2.5945177
380,2.7703
390,2.773703
400,2.985538
410,2.627848
420,2.7997386
430,2.7285872
440,2.84135
450,2.752731
460,2.3309739
470,2.6579065
480,3.2228544
490,2.8286123
500,2.8174014
510,2.824881
